PRICE,SALES,RAM,ROM,jumlah_model,APPLE,EVERCOSS/CROSS,INFINIX,IQOO,ITEL,LUNA,NUBIA,OPPO,POCO,REALME,REDMI,SAMSUNG,TECNO,VIVO,XIAOMI,ZTE,SHOPSIZE,SHOPSIZE_ENC,SHOPNAME
3741972.602739726,634.0,7.219178082191781,196.5296803652968,67,16,0,29,0,1,0,0,15,14,7,49,56,3,29,0,0,LARGE,0,
3434177.419354839,129.0,7.67741935483871,214.70967741935485,41,1,0,4,0,0,0,0,12,2,3,10,17,0,13,0,0,MEDIUM,1,
2426229.357798165,173.0,5.477064220183486,134.75229357798165,43,6,0,23,0,0,0,0,19,6,8,11,16,0,20,0,0,SMALL,2,
2417918.918918919,262.0,6.396396396396397,159.42342342342343,79,0,0,29,0,0,0,0,57,2,9,34,49,0,42,0,0,SMALL,2,
2672675.6756756757,712.0,6.6891891891891895,177.2972972972973,72,0,0,36,0,14,0,0,95,0,0,40,51,0,60,0,0,LARGE,0,
1432571.4285714286,65.0,4.4,94.17142857142858,10,0,0,0,0,8,0,0,3,0,8,10,5,0,1,0,0,SMALL,2,
1822042.5531914893,221.0,5.836879432624113,146.8368794326241,26,0,0,31,0,0,0,0,20,0,20,33,21,0,16,0,0,SMALL,2,
1812935.7142857143,233.0,5.735714285714286,141.71428571428572,47,0,0,14,0,3,0,0,3,0,0,44,34,14,28,0,0,MEDIUM,1,
3354526.0416666665,464.0,6.25,161.5,76,18,0,24,0,0,0,0,35,0,17,18,48,0,32,0,0,SMALL,2,
2023303.0303030303,47.0,5.303030303030303,113.45454545454545,16,0,0,1,0,0,0,0,11,0,0,0,2,0,19,0,0,SMALL,2,
1864564.1025641025,101.0,6.102564102564102,146.05128205128204,15,0,0,13,0,0,0,0,0,0,6,16,4,0,0,0,0,SMALL,2,
5565639.187574672,5013.0,7.890083632019116,227.4026284348865,199,60,0,61,20,0,0,0,127,1,107,125,197,0,131,8,0,XLARGE,3,
1654545.4545454546,67.0,7.2727272727272725,182.3030303030303,5,0,0,2,0,0,0,0,0,0,0,31,0,0,0,0,0,SMALL,2,
2563397.5409836066,796.0,6.516393442622951,172.45901639344262,80,2,0,44,0,3,0,0,37,5,12,57,44,0,40,0,0,MEDIUM,1,
3033452.0,527.0,6.332,165.504,90,21,0,24,0,0,0,0,55,6,13,45,55,0,31,0,0,SMALL,2,
5156513.095238095,7023.0,7.65,207.92380952380952,157,77,0,50,0,8,0,0,124,27,30,114,185,78,143,4,0,LARGE,0,
5192108.618654073,7051.0,7.650531286894923,206.96103896103895,157,78,0,50,0,13,0,0,126,27,30,111,189,77,142,4,0,LARGE,0,
5198188.902007083,7105.0,7.66469893742621,208.47225501770956,157,77,0,50,0,12,0,0,123,28,30,115,189,77,143,3,0,MEDIUM,1,
2359894.736842105,128.0,6.052631578947368,138.10526315789474,19,0,0,6,0,0,0,0,8,0,0,6,10,0,8,0,0,LARGE,0,
3475632.841328413,1625.0,7.145756457564576,194.0959409594096,152,21,2,46,4,3,0,0,104,0,31,102,115,4,101,2,7,MEDIUM,1,
2992714.285714286,48.0,6.857142857142857,137.14285714285714,7,0,0,0,0,0,0,0,4,0,2,2,4,0,2,0,0,MEDIUM,1,
3178841.911764706,1371.0,6.917279411764706,186.94117647058823,148,22,0,78,7,3,0,0,82,0,67,98,100,2,76,2,7,MEDIUM,1,
1573611.111111111,23.0,3.0,32.0,3,0,0,0,0,0,0,0,6,0,6,6,0,0,0,0,0,SMALL,2,
1675818.1818181819,269.0,2.7454545454545456,43.054545454545455,7,0,0,12,0,0,0,0,0,0,10,23,9,0,1,0,0,SMALL,2,
3470665.803108808,942.0,6.751295336787565,179.56476683937825,96,33,0,53,0,10,0,0,84,2,2,71,75,0,56,0,0,MEDIUM,1,
11304145.593869733,2654.0,9.088122605363985,298.4214559386973,50,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,MEDIUM,1,
1488940.0,106.0,4.86,141.44,13,0,0,19,0,0,0,0,5,0,3,23,0,0,0,0,0,SMALL,2,
3022873.4858681024,8097.0,7.029609690444145,190.01884253028263,176,18,4,98,14,4,0,0,116,0,76,118,113,15,141,3,23,MEDIUM,1,
1636847.8260869565,101.0,7.173913043478261,178.08695652173913,10,0,0,14,0,0,0,0,0,0,8,23,0,0,1,0,0,SMALL,2,
1594871.7948717948,95.0,6.897435897435898,176.4102564102564,8,0,0,3,0,0,0,0,0,4,0,32,0,0,0,0,0,SMALL,2,
1716340.6593406594,241.0,6.714285714285714,172.65934065934067,19,0,0,19,0,7,0,0,15,4,5,27,3,7,4,0,0,SMALL,2,
2495623.7623762377,351.0,6.336633663366337,156.1980198019802,72,2,0,27,0,1,0,0,40,0,14,35,50,0,33,0,0,MEDIUM,1,
3646260.655737705,2204.0,7.154098360655738,193.10163934426228,169,20,2,60,12,2,0,0,114,0,40,103,134,9,102,2,10,LARGE,0,
3966994.7643979057,1257.0,7.18848167539267,197.36125654450262,114,16,2,37,10,3,0,0,50,0,33,58,92,1,78,0,2,XLARGE,3,
5943644.017725258,2061.0,7.850812407680945,228.8685376661743,177,54,0,57,19,1,0,0,107,0,27,109,192,0,104,6,1,LARGE,0,
2852003.2626427407,2689.0,6.890701468189233,182.08156606851549,150,7,0,74,2,4,0,0,108,0,83,98,108,11,103,2,13,LARGE,0,
3022496.984318456,9843.0,7.007237635705669,187.5416164053076,195,7,4,107,15,6,0,2,114,1,118,120,149,11,153,1,21,XLARGE,3,
2996984.6153846155,5505.0,6.535384615384616,171.3230769230769,86,18,8,39,7,2,0,0,39,0,26,46,50,4,75,0,11,XLARGE,3,
3313945.205479452,6114.0,6.780821917808219,182.96986301369864,89,17,6,52,7,4,0,0,67,0,36,24,65,1,83,0,3,XLARGE,3,
3256620.6434316356,5296.0,7.21313672922252,197.89812332439678,177,14,1,97,11,3,0,0,121,0,76,123,128,16,134,3,19,XLARGE,3,
4051773.529411765,13270.0,7.05,193.83529411764707,145,16,6,27,6,5,1,0,34,1,57,40,73,6,60,1,7,MEDIUM,1,
5281656.449553002,4414.0,7.402298850574713,210.10472541507025,156,72,0,87,0,0,0,0,143,6,32,111,208,0,122,2,0,MEDIUM,1,
1916772.7272727273,240.0,2.75,42.90909090909091,5,0,0,0,0,0,0,0,0,0,0,24,20,0,0,0,0,SMALL,2,
1589800.0,5.0,4.4,128.0,4,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,MEDIUM,1,
3264611.111111111,124.0,6.911111111111111,181.33333333333334,46,0,0,0,0,0,0,0,24,0,11,3,28,0,24,0,0,SMALL,2,
